neighbourhood_group,neighbourhood
,Alaró
,Alcúdia
,Algaida
,Andratx
,Ariany
,Artà
,Banyalbufar
,Binissalem
,Búger
,Bunyola
,Calvià
,Campanet
,Campos
,Capdepera
,Consell
,Costitx
,Deyá
,Escorca
,Esporles
,Estellencs
,Felanitx
,Fornalutx
,Inca
,Lloret de Vistalegre
,Lloseta
,Llubí
,Llucmajor
,Manacor
,Mancor de la Vall
,Maria de la Salut
,Marratxí
,Montuïri
,Muro
,Palma de Mallorca
,Petra
,Pollença
,Porreres
,Puigpunyent
,Santa Eugènia
,Santa Margalida
,Santa María del Camí
,Santanyí
,Sant Joan
,Sant Llorenç des Cardassar
,Sa Pobla
,Selva
,Sencelles
,Ses Salines
,Sineu
,Sóller
,Son Servera
,Valldemossa
,Vilafranc de Bonany
